bgmea_reg_no,contact_person,district,email_address,mailing_address,member_or_company_name,mobile_number,no_employees,no_machines,product_capacity
2914,Mohd. Idris Shakur,Dhaka,info@idsbd.com,"House # 12, (4th floor), Road # 104, Gulshan-2",4 You Clothing Ltd.,1713370566,440,162,8000
5161,Atique Hossain,Dhaka,info@3afl.com,"Khejur Bagan, Baro Ashulia, Savar",3A Fashions Ltd.,1711549946,350,114,600000
6052,Md Shafiqul Islam,Dhaka,itt@dhaka.net,"144/1, Alubdi (Ground &amp; 1st Floor), Pallobi, Mirpur-12",3S International Ltd.,1727183896,65,52,75000
6711,Md. Sohel Rana,Dhaka,asfashionhouse@outlook.com,"House # 20, Road # 1/A, Sector # 9, Uttara, Dhaka",A S Fashion House,01713828860,140,100,350000
3081,Md. Hamidul Haque Khan,Dhaka,suman@4starfashions.com,"385/1, East Rampura, (6th Floor), Rampura",4 Star Fashions Ltd.,,582,409,60000
5996,Chowdhury Azhar Uddin,Gazipur,,"Holding # 2059, Joy Bangla Road, National University, Joydevpur",1st & Fair Fashion Wear Pvt. Ltd.,1713123720,180,100,100000
4980,F.M. Kabir Mohiuddin,Dhaka,lithe@lithegroup.com,"39, Dilkusha C/A, Motijheel",3M Composite Ltd.,1711563231,250,116,100000
5771,Nazrul Islam Sikder,Dhaka,,"House # 14, Flat # 1, Road # 6, Sector # 1, Uttara",3N Fashion (BD) Ltd.,1713031418,250,263,20000
5744,M.Tamizuddin Bhuiyan,Dhaka,tamiz@aplusbd.com,"House # 07, Road # 01, Arifabad Housing, Section # 07, Mirpur, Dhaka",A Plus Sweater Ltd.,01713062198,777,1318,1800000
4179,Md. Abdul Khadir Khan,Dhaka,aodm1005@bijoy.net,"1703,  Rayerbag, Dania, Shampur",A One Dress Makers Ltd.,1711542025,400,180,120000
4671,Md. Mahbubul Alam,Dhaka,mahbub@aandagroupbd.com,"House # B-109 (Duplex), Road # 8, New DOHS, Mohakhali",A & A Trousers Ltd.,1711568696,800,518,156000
6778,Mohammed Ismail,Dhaka,mkclismail007@gmail.com,"House # 14/E, 5th Floor, U-C, Calkuthi, Mazar Road, Mirpur-1, Dhaka",A Line Sport Ltd.,01718806211,250,166,1050000
3236,Md. Anwar Hossain Chowdhury,Dhaka,anwar@ajintl.com,"2, Monipuripara (4th Floor), Tejgaon",A J Fashions Ltd.,1711520079,831,658,75000
3968,Monowara Begum,Gazipur,,"Naljani (Wireless Gate), Sadar",A & A Fashion Sweaters Ltd.,,700,300,72000
6211,Sayed Azharul Haque,Dhaka,azhar@synergy-group-ltd.com,"House # 23/8, Block # C, Tajmohol Road, Mohammadpur",A & B Design & Fashion (Pvt.) Ltd.,1711568646,0,141,20800
4221,Tohida Akther,Dhaka,mnaim@aplusbd.com,"House # 07, Road # 01, Arifabad Housing, Section # 07, Mirpur, Dhaka",A Plus Industries Ltd.,01833332000,1900,1276,720000
6321,Md. Sayed Hasan Jahid,Ashulia,alitrade11@gmail.com,"Zirabo, Ashulia, Savar, Dhaka",5F Apparels Ltd.,01819220962,427,185,84000
4598,A.T.M. Shamsuzzaman,Dhaka,atmzaman@aitlbd.com,"Plot # 152/9, Road # 9/2, Block - B, Section # 12, Mirpur",4S-Park Style Ltd.,,489,278,100000
