director,genre,stars,title,year
Milos Forman,,"Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco, Dean R. Brooks",One Flew Over the Cuckoo's Nest,1975
Frank Darabont,,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown",The Shawshank Redemption,1994
David Fincher,,"Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker, Daniel Zacapa",Se7en,1995
Sudha Kongara,,"Suriya, Paresh Rawal, Aarti Desai, Aparna Balamurali, Urvashi",Soorarai Pottru,2020
Jonathan Demme,,"Jodie Foster, Anthony Hopkins, Lawrence A. Bonney, Kasi Lemmons, Lawrence T. Wrentz",The Silence of the Lambs,1991
George Lucas,,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness, Peter Cushing",Star Wars: Episode IV - A New Hope,1977
Irvin Kershner,,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels",Star Wars: Episode V - The Empire Strikes Back,1980
Christopher Nolan,,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy, Ellen Burstyn",Interstellar,2014
"Lana Wachowski, Lilly Wachowski",,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster",The Matrix,1999
Martin Scorsese,,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino",Goodfellas,1990
T.J. Gnanavel,,"Suriya, Lijo Mol Jose, Manikandan K., Rajisha Vijayan, Prakash Raj",Jai Bhim,2021
Madhavan,,"Madhavan, Simran, Rajit Kapoor, Ravi Raghavendra, Misha Ghoshal",Rocketry: The Nambi Effect,2022
Kiranraj K,,"Rakshit Shetty, Charlie, Sangeetha Sringeri, Raj B. Shetty, Bobby Simha",777 Charlie,2022
Peter Jackson,,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom, Bruce Allpress",The Lord of the Rings: The Two Towers,2002
Robert Zemeckis,,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field, Rebecca Williams",Forrest Gump,1994
Bryan Singer,,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin, Benicio Del Toro",The Usual Suspects,1995
Sergio Leone,,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè, Luigi Pistilli","The Good, the Bad and the Ugly",1966
Francis Ford Coppola,,"Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest, Sam Bottoms",Apocalypse Now,1979
Roman Polanski,,"Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox, Michal Zebrowski",The Pianist,2002
Tony Kaye,,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien, Ethan Suplee",American History X,1998
Christopher Nolan,,"Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine, Piper Perabo",The Prestige,2006
"Roger Allers, Rob Minkoff",,"Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg, Rowan Atkinson",The Lion King,1994
Alfred Hitchcock,,"Anthony Perkins, Janet Leigh, Vera Miles, John Gavin, Martin Balsam",Psycho,1960
Luc Besson,,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello, Peter Appel",Léon: The Professional,1994
Robert Zemeckis,,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover, Tom Wilson",Back to the Future,1985
Martin Scorsese,,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen",The Departed,2006
Bong Joon Ho,,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-sik, Park So-dam",Parasite,2019
Ridley Scott,,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris",Gladiator,2000
Hanu Raghavapudi,,"Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth, Bhoomika Chawla",Sita Ramam,2022
Damien Chazelle,,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser, Austin Stowell",Whiplash,2014
Masaki Kobayashi,,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba, Masao Mishima",Harakiri,1962
Ridley Scott,,"Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright, Harry Dean Stanton",Alien,1979
Roberto Benigni,,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano, Sergio Bini Bustric",Life Is Beautiful,1997
Akira Kurosawa,,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki, Kamatari Fujiwara",Seven Samurai,1954
Frank Capra,,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers",It's a Wonderful Life,1946
"Fernando Meirelles, Kátia Lund",,"Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele, Phellipe Haagensen, Douglas Silva",City of God,2002
Steven Spielberg,,"Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns, Barry Pepper",Saving Private Ryan,1998
Hayao Miyazaki,,"Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi, Mari Natsuki",Spirited Away,2001
