name,brand,code,color,repeat,roll size,composiotion,care code,pattern book,image
Arden Wallpaper,Colefax and Fowler,W7016-01,Old Blue,84cm approx,68.5cm x 10m,100% Non Woven,20,Pattern Book,https://colefax.azureedge.net/designs-images/large/W7016-01_l.jpg
Toile Chinoise Wallpaper,Colefax and Fowler,W7017-05,Old Blue,46cm approx,68.5cm x 10m,100% Paper,10,Pattern Book,https://colefax.azureedge.net/designs-images/large/W7017-05_l.jpg
Toile Chinoise Wallpaper,Colefax and Fowler,W7017-02,Blue,46cm approx,68.5cm x 10m,100% Paper,10,Pattern Book,https://colefax.azureedge.net/designs-images/large/W7017-02_l.jpg
Seraphina Wallpaper,Colefax and Fowler,07157/07,Blue/Green,61cm approx (Half drop),52cm x 10m,100% Paper,10,Pattern Book,https://colefax.azureedge.net/designs-images/large/07157-07_l.jpg
Ashdown Wallpaper,Colefax and Fowler,W7021-03,Yellow,97cm approx,68.5cm x 10m,100% Non Woven,20,Pattern Book,https://colefax.azureedge.net/designs-images/large/W7021-03_l.jpg
Ashdown Wallpaper,Colefax and Fowler,W7021-04,Cream,97cm approx,68.5cm x 10m,100% Non Woven,20,Pattern Book,https://colefax.azureedge.net/designs-images/large/W7021-04_l.jpg
Delancey Wallpaper,Colefax and Fowler,07128/01,Aqua,61cm approx (Half drop),52cm x 10m,100% Paper,10,Pattern Book,https://colefax.azureedge.net/designs-images/large/07128-01_l.jpg
Arden Wallpaper,Colefax and Fowler,W7016-03,Forest Green,84cm approx,68.5cm x 10m,100% Non Woven,20,Pattern Book,https://colefax.azureedge.net/designs-images/large/W7016-03_l.jpg
Arden Wallpaper,Colefax and Fowler,W7016-02,Leaf Green,84cm approx,68.5cm x 10m,100% Non Woven,20,Pattern Book,https://colefax.azureedge.net/designs-images/large/W7016-02_l.jpg
Woodfern Wallpaper,Colefax and Fowler,W7015-02,Aqua,61cm approx,68.5cm x 10m,100% Non Woven,20,Pattern Book,https://colefax.azureedge.net/designs-images/large/W7015-02_l.jpg
Toile Chinoise Wallpaper,Colefax and Fowler,W7017-06,Aqua,46cm approx,68.5cm x 10m,100% Paper,10,Pattern Book,https://colefax.azureedge.net/designs-images/large/W7017-06_l.jpg
Seraphina Wallpaper,Colefax and Fowler,07157/06,Old Blue,61cm approx (Half drop),52cm x 10m,100% Paper,10,Pattern Book,https://colefax.azureedge.net/designs-images/large/07157-06_l.jpg
